City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,80.15,73,9,13.24,light rain
1,San Patricio,US,28.017,-97.5169,70.07,82,100,16.06,overcast clouds
2,Arlit,NE,18.7369,7.3853,75.79,14,73,9.93,broken clouds
3,Okha,RU,53.5739,142.9478,19.13,75,12,20.07,few clouds
4,Spijkenisse,NL,51.845,4.3292,39.02,78,0,2.3,clear sky
5,Punta Arenas,CL,-53.15,-70.9167,44.71,87,0,9.22,clear sky
6,Flinders,AU,-34.5833,150.8552,75.25,63,47,7.52,scattered clouds
7,El Retorno,CO,2.3302,-72.6276,72.1,99,100,1.23,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,69.21,54,75,5.57,broken clouds
9,Makakilo City,US,21.3469,-158.0858,76.28,74,75,9.22,broken clouds
10,Nizwa,OM,22.9333,57.5333,79.34,17,0,1.97,clear sky
11,Am Timan,TD,11.0297,20.2827,77.2,12,85,5.93,overcast clouds
12,Odweyne,SO,9.4092,45.064,72.01,47,56,7.72,broken clouds
13,Ushuaia,AR,-54.8,-68.3,47.86,81,20,14.97,few clouds
14,Ormara,PK,25.2088,64.6357,76.37,70,0,4.05,clear sky
15,East London,ZA,-33.0153,27.9116,65.34,100,20,2.3,few clouds
16,Tura,IN,25.5198,90.2201,90.82,20,4,4.81,clear sky
17,Cockburn Town,TC,21.4612,-71.1419,77.41,75,0,14.9,clear sky
18,Norman Wells,CA,65.282,-126.8329,1.44,66,100,17.27,light snow
19,Leningradskiy,RU,69.3833,178.4167,-1.89,89,8,0.45,clear sky
20,Souillac,MU,-20.5167,57.5167,77.38,100,75,0.0,shower rain
21,Avarua,CK,-21.2078,-159.775,82.45,78,20,12.66,few clouds
22,Saskylakh,RU,71.9167,114.0833,6.78,94,99,2.66,overcast clouds
23,Vaini,TO,-21.2,-175.2,81.66,69,100,13.51,overcast clouds
24,Chokurdakh,RU,70.6333,147.9167,-1.57,90,10,5.5,clear sky
25,Upernavik,GL,72.7868,-56.1549,-17.95,87,34,5.77,scattered clouds
26,Kodiak,US,57.79,-152.4072,36.91,75,75,12.66,light rain
27,Busselton,AU,-33.65,115.3333,77.25,35,2,6.55,clear sky
28,Arman,RU,59.7,150.1667,30.02,88,100,11.56,light snow
29,Hithadhoo,MV,-0.6,73.0833,83.98,69,91,13.53,overcast clouds
30,Bethel,US,41.3712,-73.414,44.76,74,100,5.75,overcast clouds
31,Dingle,PH,10.9995,122.6711,88.92,60,77,13.73,broken clouds
32,Brasilia De Minas,BR,-16.2064,-44.4333,70.14,65,68,4.92,broken clouds
33,Bluff,NZ,-46.6,168.3333,60.62,82,42,15.1,scattered clouds
34,Yellowknife,CA,62.456,-114.3525,27.41,80,40,9.22,scattered clouds
35,Illela,NG,13.7292,5.2975,77.29,17,60,2.51,broken clouds
36,Nikolskoye,RU,59.7035,30.7861,33.87,96,76,4.34,broken clouds
37,Atuona,PF,-9.8,-139.0333,78.62,81,56,16.49,light rain
38,Jamestown,US,42.097,-79.2353,38.84,50,0,9.22,clear sky
39,Huilong,CN,31.8111,121.655,44.92,88,100,19.8,moderate rain
40,Puerto Ayora,EC,-0.7393,-90.3518,75.54,100,30,1.74,scattered clouds
41,Pankrushikha,RU,53.8319,80.3406,15.85,90,100,17.0,overcast clouds
42,Cidreira,BR,-30.1811,-50.2056,67.55,59,62,13.22,broken clouds
43,Nanortalik,GL,60.1432,-45.2371,11.3,75,3,7.52,clear sky
44,Kintampo,GH,8.0563,-1.7306,75.07,80,100,4.03,overcast clouds
45,Tumut,AU,-35.3,148.2167,84.99,32,10,8.84,clear sky
46,College,US,64.8569,-147.8028,14.32,57,20,12.66,few clouds
47,Saint George,US,37.1041,-113.5841,51.44,26,0,16.11,clear sky
48,Faanui,PF,-16.4833,-151.75,83.17,67,8,20.94,clear sky
49,Kaitangata,NZ,-46.2817,169.8464,62.06,80,77,13.33,broken clouds
50,Wanganui,NZ,-39.9333,175.05,67.59,78,100,15.01,overcast clouds
51,Cabo San Lucas,MX,22.8909,-109.9124,76.3,64,40,13.8,scattered clouds
52,Thompson,CA,55.7435,-97.8558,17.76,67,0,5.75,clear sky
53,Lagos,NG,6.5833,3.75,82.72,85,100,5.35,light rain
54,Nirasaki,JP,35.7,138.45,58.48,38,95,1.99,overcast clouds
55,Yulara,AU,-25.2406,130.9889,98.44,12,0,10.36,clear sky
56,Touros,BR,-5.1989,-35.4608,78.15,84,94,9.15,light rain
57,Nabire,ID,-3.3667,135.4833,84.49,71,91,5.82,overcast clouds
58,Kavieng,PG,-2.5744,150.7967,85.6,67,71,8.75,broken clouds
59,Hofn,IS,64.2539,-15.2082,38.66,70,100,6.2,overcast clouds
60,Bengkulu,ID,-3.8004,102.2655,84.61,61,84,6.46,broken clouds
61,Butaritari,KI,3.0707,172.7902,81.59,79,53,18.23,broken clouds
62,San Juan,AR,-31.5375,-68.5364,63.25,53,0,8.52,clear sky
63,Cumpas,MX,29.9833,-109.7833,51.1,38,3,5.39,clear sky
64,Ontario,US,34.0633,-117.6509,62.31,55,0,5.75,clear sky
65,Pacific Grove,US,36.6177,-121.9166,54.01,79,0,9.22,clear sky
66,Maniitsoq,GL,65.4167,-52.9,-11.92,78,1,5.97,clear sky
67,Kormilovka,RU,55.0026,74.1028,13.17,93,98,15.64,overcast clouds
68,Barrow,US,71.2906,-156.7887,-23.78,62,0,10.36,clear sky
69,Pevek,RU,69.7008,170.3133,-3.6,89,59,4.18,broken clouds
70,Ahar,IR,38.4774,47.0699,22.51,92,100,5.88,light snow
71,Lebu,CL,-37.6167,-73.65,55.96,94,26,5.01,scattered clouds
72,Half Moon Bay,US,37.4636,-122.4286,53.87,70,20,18.41,haze
73,Hami,CN,42.8,93.45,43.68,30,100,2.73,overcast clouds
74,Andenes,NO,69.3143,16.1194,44.58,61,0,37.98,clear sky
75,Puerto Maldonado,PE,-12.6,-69.1833,68.58,99,70,2.08,broken clouds
76,Olafsvik,IS,64.8945,-23.7142,33.46,66,100,7.58,overcast clouds
77,Cape Town,ZA,-33.9258,18.4232,66.11,85,0,10.36,clear sky
78,Grand Gaube,MU,-20.0064,57.6608,83.37,84,59,1.99,broken clouds
79,Leova,MD,46.4786,28.2553,32.85,72,1,6.6,clear sky
80,Port Blair,IN,11.6667,92.75,77.04,88,100,5.75,heavy intensity rain
81,Muli,MV,2.9167,73.5667,83.5,71,83,14.76,broken clouds
82,Nova Olimpia,BR,-14.7972,-57.2881,71.06,99,50,3.2,scattered clouds
83,Narsaq,GL,60.9167,-46.05,10.62,67,0,7.16,clear sky
84,Pochutla,MX,15.7432,-96.4661,79.83,64,1,3.58,clear sky
85,Hilo,US,19.7297,-155.09,76.73,82,75,10.36,broken clouds
86,Kapaa,US,22.0752,-159.319,76.98,82,100,9.22,moderate rain
87,Tautira,PF,-17.7333,-149.15,82.27,72,26,16.42,scattered clouds
88,Belyy Yar,RU,53.6039,91.3903,31.89,48,0,6.71,clear sky
89,Arraial Do Cabo,BR,-22.9661,-42.0278,75.27,85,98,21.72,light rain
90,Port Alfred,ZA,-33.5906,26.891,71.37,88,22,9.51,few clouds
91,Talnakh,RU,69.4865,88.3972,6.21,94,87,5.28,overcast clouds
92,Airai,TL,-8.9266,125.4092,75.96,56,92,2.21,overcast clouds
93,Belfast,GB,54.5833,-5.9333,45.19,88,100,6.91,overcast clouds
94,Bahia Blanca,AR,-38.7196,-62.2724,64.92,44,100,15.9,overcast clouds
95,Lompoc,US,34.6391,-120.4579,55.78,78,0,23.0,clear sky
96,Oni,GE,42.5794,43.4425,30.43,76,96,2.26,overcast clouds
97,Sinnamary,GF,5.3833,-52.95,76.53,86,99,11.7,overcast clouds
98,The Valley,AI,18.217,-63.0578,77.09,75,2,19.19,clear sky
99,Ponta Do Sol,PT,32.6667,-17.1,57.7,71,50,2.68,scattered clouds
100,Carutapera,BR,-1.195,-46.02,74.66,95,100,3.0,overcast clouds
101,Carnarvon,AU,-24.8667,113.6333,84.27,51,17,25.32,few clouds
