City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pasighat,IN,2022-03-20 04:08:19,28.0667,95.3333,87.8,25,86,3.74
1,Barrow,US,2022-03-20 04:08:40,71.2906,-156.7887,-12.98,77,0,9.22
2,Tongren,CN,2022-03-20 04:08:40,27.7172,109.1853,49.69,90,100,5.19
3,Busselton,AU,2022-03-20 04:08:41,-33.65,115.3333,78.8,50,100,7.38
4,Punta Arenas,CL,2022-03-20 04:08:41,-53.15,-70.9167,48.31,66,0,11.5
5,Zalantun,CN,2022-03-20 04:08:42,48.0,122.7167,27.82,46,82,3.44
6,Ganzhou,CN,2022-03-20 04:08:43,28.8184,115.4327,52.9,87,100,6.13
7,Svetlyy,RU,2022-03-20 04:08:43,54.675,20.1347,32.97,71,2,5.77
8,Lebu,CL,2022-03-20 04:08:44,-37.6167,-73.65,54.27,72,100,6.44
9,Tautira,PF,2022-03-20 04:08:44,-17.7333,-149.15,82.53,73,27,15.05
10,Cherskiy,RU,2022-03-20 04:08:44,68.75,161.3,16.09,83,13,9.64
11,New Norfolk,AU,2022-03-20 04:08:45,-42.7826,147.0587,71.1,53,100,3.94
12,Port-Gentil,GA,2022-03-20 04:08:36,-0.7193,8.7815,81.09,78,71,12.24
13,Kahului,US,2022-03-20 04:04:28,20.8947,-156.47,80.62,68,20,14.97
14,Bredasdorp,ZA,2022-03-20 04:08:46,-34.5322,20.0403,69.17,84,59,8.95
15,Port Elizabeth,ZA,2022-03-20 04:08:47,-33.918,25.5701,69.31,99,100,4.0
16,Bardiyah,LY,2022-03-20 04:08:48,31.7561,25.0865,52.03,54,92,21.09
17,Guerrero Negro,MX,2022-03-20 04:08:48,27.9769,-114.0611,59.97,84,0,15.01
18,Havre,FR,2022-03-20 04:08:49,49.5833,0.3333,42.57,49,0,12.66
19,Nanortalik,GL,2022-03-20 04:08:49,60.1432,-45.2371,13.69,88,80,9.13
20,Rikitea,PF,2022-03-20 04:08:50,-23.1203,-134.9692,80.64,74,26,10.22
21,Hilo,US,2022-03-20 04:08:51,19.7297,-155.09,75.25,87,40,10.36
22,Kirakira,SB,2022-03-20 04:08:51,-10.4544,161.9205,85.12,70,99,8.5
23,Richards Bay,ZA,2022-03-20 04:08:52,-28.783,32.0377,65.25,81,79,4.16
24,Albany,US,2022-03-20 04:08:27,42.6001,-73.9662,53.38,92,61,7.05
25,Ponta Do Sol,PT,2022-03-20 04:08:52,32.6667,-17.1,60.06,77,49,14.85
26,Bluff,NZ,2022-03-20 04:08:53,-46.6,168.3333,66.79,73,56,16.84
27,Hamilton,US,2022-03-20 04:07:40,39.1834,-84.5333,42.76,92,100,10.36
28,Mataura,NZ,2022-03-20 04:08:54,-46.1927,168.8643,66.47,45,37,4.18
29,Jamestown,US,2022-03-20 04:08:54,42.097,-79.2353,45.01,65,100,13.8
30,Vrangel,RU,2022-03-20 04:08:55,42.7297,133.0839,34.2,47,53,11.05
31,Letnyaya Stavka,RU,2022-03-20 04:08:55,45.4306,43.4472,23.92,67,0,9.44
32,Krasnoselkup,RU,2022-03-20 04:08:56,65.7,82.4667,27.5,96,100,12.91
33,Puerto Ayora,EC,2022-03-20 04:08:56,-0.7393,-90.3518,78.33,81,25,4.38
34,Roebourne,AU,2022-03-20 04:08:57,-20.7833,117.1333,95.36,38,15,5.91
35,Raahe,FI,2022-03-20 04:08:57,64.6833,24.4833,37.49,78,99,13.71
36,Qaanaaq,GL,2022-03-20 04:08:58,77.484,-69.3632,-7.98,94,100,6.82
37,Debre Tabor,ET,2022-03-20 04:07:16,11.85,38.0167,56.12,61,39,3.53
38,Castro,BR,2022-03-20 04:08:59,-24.7911,-50.0119,62.82,95,99,7.02
39,Bethel,US,2022-03-20 04:08:59,41.3712,-73.414,57.29,92,100,3.44
40,Ano Mera,GR,2022-03-20 04:09:00,37.45,25.4,43.66,55,99,33.26
41,Saint-Francois,FR,2022-03-20 04:09:01,46.4154,3.9054,44.04,87,97,3.44
42,Neman,RU,2022-03-20 04:09:01,55.0311,22.0264,33.31,84,4,3.36
43,Katsuura,JP,2022-03-20 04:09:02,35.1333,140.3,52.16,52,83,9.4
44,Vassouras,BR,2022-03-20 04:09:03,-22.4039,-43.6625,67.89,94,90,1.12
45,Chumikan,RU,2022-03-20 04:10:03,54.7183,135.315,19.6,75,81,15.12
46,Roma,US,2022-03-20 04:10:04,43.2128,-75.4557,52.72,94,100,3.44
47,Husavik,IS,2022-03-20 04:10:04,66.0449,-17.3389,45.52,70,100,32.37
48,Coihaique,CL,2022-03-20 04:10:02,-45.5752,-72.0662,48.81,76,0,2.3
49,Bambous Virieux,MU,2022-03-20 04:10:05,-20.3428,57.7575,84.22,94,75,0.0
50,Hobart,AU,2022-03-20 04:10:05,-42.8794,147.3294,71.46,61,75,5.75
51,Kodiak,US,2022-03-20 04:10:06,57.79,-152.4072,36.91,75,100,17.27
52,Portland,US,2022-03-20 04:09:04,45.5234,-122.6762,45.79,68,40,5.75
53,Sitka,US,2022-03-20 04:10:07,57.0531,-135.33,39.09,75,40,8.05
54,Hofn,IS,2022-03-20 04:10:07,64.2539,-15.2082,45.73,92,100,30.74
55,Marawi,PH,2022-03-20 04:09:54,7.9986,124.2928,80.56,68,99,5.61
56,Chokurdakh,RU,2022-03-20 04:10:08,70.6333,147.9167,0.19,90,100,6.31
57,Ushuaia,AR,2022-03-20 04:06:15,-54.8,-68.3,38.14,87,100,11.07
58,Keningau,MY,2022-03-20 04:10:09,5.3378,116.1602,83.84,76,100,0.63
59,Cabo San Lucas,MX,2022-03-20 04:09:57,22.8909,-109.9124,73.51,59,52,9.64
60,Pochutla,MX,2022-03-20 04:10:09,15.7432,-96.4661,77.83,66,7,3.65
61,Krasnomayskiy,RU,2022-03-20 04:10:10,57.6194,34.4099,29.71,92,31,8.72
62,Ler,SS,2022-03-20 04:10:11,8.3018,30.1418,79.92,24,76,5.21
63,Bengkulu,ID,2022-03-20 04:10:11,-3.8004,102.2655,83.89,64,97,4.68
64,Ribeira Grande,PT,2022-03-20 04:10:12,38.5167,-28.7,58.03,70,97,23.38
65,Mount Isa,AU,2022-03-20 04:10:13,-20.7333,139.5,98.37,16,44,11.5
66,Port Alfred,ZA,2022-03-20 04:10:13,-33.5906,26.891,70.61,86,16,3.98
